"","point","time","KS-03-1/100_1","KS-03-1/100_2","KS-08-KS-03_1","KS-08-KS-03_2","NC_1","NC_2","elapsed_h","time_lbl"
"52",51,"19:24:31",0.185,0.122,0.335,0.299,0.191,0.071,25.4961111111111,"Day 1
01:29"
"53",52,"19:54:26",0.208,0.173,0.344,0.296,0.193,0.077,25.9947222222222,"Day 1
01:59"
"54",53,"20:24:27",0.199,0.142,0.287,0.292,0.198,0.085,26.495,"Day 1
02:29"
"55",54,"20:54:29",0.179,0.163,0.291,0.301,0.226,0.096,26.9955555555556,"Day 1
02:59"
"56",55,"21:24:26",0.2,0.11,0.344,0.352,0.185,0.076,27.4947222222222,"Day 1
03:29"
"57",56,"21:54:31",0.18,0.164,0.356,0.307,0.198,0.238,27.9961111111111,"Day 1
03:59"
"58",57,"22:24:32",0.169,0.199,0.302,0.351,0.19,0.062,28.4963888888889,"Day 1
04:29"
"59",58,"22:54:28",0.186,0.133,0.28,0.371,0.374,0.093,28.9952777777778,"Day 1
04:59"
"60",59,"23:24:31",0.175,0.126,0.299,0.339,0.249,0.068,29.4961111111111,"Day 1
05:29"
"61",60,"23:54:28",0.189,0.166,0.291,0.302,0.233,0.102,29.9952777777778,"Day 1
05:59"
"62",61,"00:24:30",0.237,0.121,0.318,0.303,0.18,0.066,30.4958333333333,"Day 1
06:29"
"63",62,"00:54:26",0.17,0.119,0.274,0.306,0.233,0.097,30.9947222222222,"Day 1
06:59"
"64",63,"01:24:24",0.199,0.112,0.328,0.339,0.213,0.114,31.4941666666667,"Day 1
07:29"
"65",64,"01:54:27",0.17,0.121,0.301,0.318,0.257,0.06,31.995,"Day 1
07:59"
"66",65,"02:24:24",0.22,0.245,0.344,0.308,0.332,0.132,32.4941666666667,"Day 1
08:29"
"67",66,"02:54:26",0.184,0.069,0.275,0.318,0.243,0.059,32.9947222222222,"Day 1
08:59"
"68",67,"03:24:26",0.173,0.085,0.303,0.325,0.219,0.073,33.4947222222222,"Day 1
09:29"
"69",68,"03:54:27",0.228,0.076,0.3,0.339,0.255,0.06,33.995,"Day 1
09:59"
"70",69,"04:24:23",0.192,0.095,0.31,0.311,0.182,0.059,34.4938888888889,"Day 1
10:29"
"71",70,"04:54:27",0.192,0.119,0.284,0.303,0.175,0.06,34.995,"Day 1
10:59"
"72",71,"05:24:22",0.224,0.139,0.295,0.315,0.251,0.086,35.4936111111111,"Day 1
11:29"
"73",72,"05:54:25",0.162,0.071,0.306,0.328,0.195,0.133,35.9944444444444,"Day 1
11:59"
"74",73,"06:24:25",0.187,0.085,0.298,0.339,0.179,0.068,36.4944444444444,"Day 1
12:29"
"75",74,"06:54:26",0.184,0.136,0.32,0.352,0.19,0.064,36.9947222222222,"Day 1
12:59"
"76",75,"07:24:24",0.148,0.119,0.405,0.362,0.186,0.11,37.4941666666667,"Day 1
13:29"
"77",76,"07:54:27",0.182,0.139,0.317,0.391,0.256,0.08,37.995,"Day 1
13:59"
"78",77,"08:24:22",0.177,0.105,0.313,0.349,0.285,0.075,38.4936111111111,"Day 1
14:29"
"79",78,"08:54:20",0.177,0.098,0.301,0.32,0.229,0.046,38.9930555555556,"Day 1
14:59"
"80",79,"09:24:23",0.163,0.085,0.345,0.331,0.177,0.056,39.4938888888889,"Day 1
15:29"
"81",80,"09:54:19",0.169,0.062,0.337,0.318,0.236,0.038,39.9927777777778,"Day 1
15:59"
"82",81,"10:24:23",0.184,0.202,0.289,0.35,0.394,0.068,40.4938888888889,"Day 1
16:29"
"83",82,"10:54:22",0.244,0.111,0.298,0.362,0.364,0.07,40.9936111111111,"Day 1
16:59"
"84",83,"11:24:21",0.221,0.082,0.315,0.401,0.16,0.089,41.4933333333333,"Day 1
17:29"
"85",84,"11:54:23",0.154,0.134,0.314,0.333,0.199,0.046,41.9938888888889,"Day 1
17:59"
"86",85,"12:24:24",0.162,0.084,0.306,0.356,0.178,0.071,42.4941666666667,"Day 1
18:29"
"87",86,"12:54:17",0.131,0.089,0.339,0.338,0.18,0.068,42.9922222222222,"Day 1
18:59"
"88",87,"13:24:20",0.17,0.147,0.301,0.388,0.204,0.165,43.4930555555556,"Day 1
19:29"
"89",88,"13:54:18",0.234,0.105,0.315,0.351,0.163,0.107,43.9925,"Day 1
19:59"
"90",89,"14:24:23",0.139,0.164,0.298,0.34,0.255,0.133,44.4938888888889,"Day 1
20:29"
"91",90,"14:54:19",0.162,0.088,0.345,0.369,0.171,0.049,44.9927777777778,"Day 1
20:59"
"92",91,"15:24:18",0.151,0.083,0.31,0.374,0.154,0.06,45.4925,"Day 1
21:29"
"93",92,"15:54:19",0.185,0.073,0.298,0.345,0.162,0.09,45.9927777777778,"Day 1
21:59"
"94",93,"16:24:17",0.106,0.06,0.302,0.339,0.166,0.074,46.4922222222222,"Day 1
22:29"
"95",94,"16:54:20",0.179,0.051,0.3,0.32,0.165,0.088,46.9930555555556,"Day 1
22:59"
"96",95,"17:24:14",0.122,0.023,0.298,0.358,0.235,0.075,47.4913888888889,"Day 1
23:29"
"97",96,"17:54:17",0.131,0.01,0.308,0.35,0.298,0.041,47.9922222222222,"Day 1
23:59"
"98",97,"18:24:19",0.19,0,0.288,0.374,0.253,0.049,48.4927777777778,"Day 2
00:29"
"99",98,"18:54:20",0.115,-0.019,0.309,0.315,0.382,0.085,48.9930555555556,"Day 2
00:59"
"100",99,"19:24:16",0.11,-0.026,0.302,0.344,0.156,0.033,49.4919444444444,"Day 2
01:29"
"101",100,"19:54:17",0.04,-0.096,0.299,0.354,0.314,0.076,49.9922222222222,"Day 2
01:59"
"102",101,"20:24:19",0.082,-0.069,0.293,0.328,0.158,0.04,50.4927777777778,"Day 2
02:29"
"103",102,"20:54:12",0.049,-0.034,0.309,0.347,0.157,0.056,50.9908333333333,"Day 2
02:59"
"104",103,"21:24:21",0.07,-0.106,0.324,0.325,0.135,0.06,51.4933333333333,"Day 2
03:29"
"105",104,"21:54:15",0.074,-0.102,0.291,0.349,0.313,0.173,51.9916666666667,"Day 2
03:59"
"106",105,"22:24:16",0.037,-0.161,0.279,0.365,0.18,0.042,52.4919444444444,"Day 2
04:29"
"107",106,"22:54:17",-0.016,-0.127,0.275,0.342,0.165,0.115,52.9922222222222,"Day 2
04:59"
"108",107,"23:24:19",0.037,-0.155,0.325,0.364,0.136,0.031,53.4927777777778,"Day 2
05:29"
"109",108,"23:54:14",0.025,-0.166,0.302,0.347,0.156,0.062,53.9913888888889,"Day 2
05:59"
"110",109,"00:24:17",0.013,-0.012,0.3,0.329,0.144,0.106,54.4922222222222,"Day 2
06:29"
"111",110,"00:54:10",-0.044,-0.062,0.279,0.359,0.147,0.052,54.9902777777778,"Day 2
06:59"
"112",111,"01:24:11",-0.046,-0.168,0.277,0.358,0.15,0.082,55.4905555555556,"Day 2
07:29"
"113",112,"01:54:12",0.056,-0.192,0.274,0.342,0.156,0.034,55.9908333333333,"Day 2
07:59"
"114",113,"02:24:13",-0.017,-0.131,0.314,0.362,0.15,0.048,56.4911111111111,"Day 2
08:29"
"115",114,"02:54:15",-0.102,-0.15,0.272,0.374,0.137,0.057,56.9916666666667,"Day 2
08:59"
"116",115,"03:24:12",-0.03,-0.191,0.275,0.35,0.168,0.071,57.4908333333333,"Day 2
09:29"
"117",116,"03:54:13",-0.015,-0.195,0.318,0.362,0.15,0.088,57.9911111111111,"Day 2
09:59"
"118",117,"04:24:16",0.034,-0.204,0.278,0.396,0.155,0.062,58.4919444444444,"Day 2
10:29"
"119",118,"04:54:10",-0.08,-0.14,0.265,0.379,0.158,0.069,58.9902777777778,"Day 2
10:59"
"120",119,"05:24:15",-0.098,-0.125,0.253,0.385,0.187,0.105,59.4916666666667,"Day 2
11:29"
"121",120,"05:54:09",-0.113,-0.216,0.275,0.349,0.147,0.183,59.99,"Day 2
11:59"
"122",121,"06:24:12",-0.095,-0.164,0.269,0.364,0.125,0.257,60.4908333333333,"Day 2
12:29"
"123",122,"06:54:12",-0.136,-0.216,0.273,0.371,0.147,0.075,60.9908333333333,"Day 2
12:59"
"124",123,"07:24:14",-0.083,-0.197,0.271,0.351,0.161,0.091,61.4913888888889,"Day 2
13:29"
"125",124,"07:54:08",-0.031,-0.224,0.27,0.349,0.127,0.081,61.9897222222222,"Day 2
13:59"
"126",125,"08:24:09",-0.104,-0.215,0.313,0.345,0.192,0.051,62.49,"Day 2
14:29"
"127",126,"08:54:13",-0.095,-0.139,0.275,0.362,0.164,0.059,62.9911111111111,"Day 2
14:59"
"128",127,"09:24:08",-0.146,-0.247,0.279,0.401,0.15,0.049,63.4897222222222,"Day 2
15:29"
"129",128,"09:54:12",-0.162,-0.222,0.263,0.371,0.162,0.074,63.9908333333333,"Day 2
15:59"
"130",129,"10:24:09",-0.129,-0.185,0.263,0.351,0.139,0.06,64.49,"Day 2
16:29"
"131",130,"10:54:06",-0.15,-0.227,0.273,0.374,0.154,0.097,64.9891666666667,"Day 2
16:59"
"132",131,"11:24:09",-0.161,-0.186,0.247,0.36,0.185,0.04,65.49,"Day 2
17:29"
"133",132,"11:54:11",-0.207,-0.224,0.228,0.347,0.135,0.039,65.9905555555556,"Day 2
17:59"
"134",133,"12:24:06",-0.216,-0.236,0.238,0.361,0.119,0.066,66.4891666666667,"Day 2
18:29"
"135",134,"12:54:11",-0.227,-0.233,0.242,0.371,0.112,0.056,66.9905555555556,"Day 2
18:59"
"136",135,"13:24:05",-0.213,-0.243,0.229,0.34,0.252,0.071,67.4888888888889,"Day 2
19:29"
"137",136,"13:54:07",-0.235,-0.226,0.271,0.372,0.125,0.041,67.9894444444444,"Day 2
19:59"
"138",137,"14:24:09",-0.228,-0.241,0.256,0.357,0.117,0.085,68.49,"Day 2
20:29"
"139",138,"14:54:06",-0.244,-0.235,0.266,0.367,0.112,0.044,68.9891666666667,"Day 2
20:59"
"140",139,"15:24:04",-0.292,-0.25,0.229,0.352,0.105,0.067,69.4886111111111,"Day 2
21:29"
"141",140,"15:54:09",-0.284,-0.251,0.231,0.362,0.107,0.047,69.99,"Day 2
21:59"
"142",141,"16:24:06",-0.287,-0.251,0.24,0.357,0.238,0.045,70.4891666666667,"Day 2
22:29"
"143",142,"16:54:09",-0.289,-0.248,0.227,0.35,0.102,0.07,70.99,"Day 2
22:59"
"144",143,"17:24:02",-0.263,-0.233,0.219,0.344,0.105,0.155,71.4880555555556,"Day 2
23:29"
"145",144,"17:54:03",-0.308,-0.247,0.22,0.359,0.112,0.032,71.9883333333333,"Day 2
23:59"
"146",145,"18:24:01",-0.291,-0.231,0.233,0.385,0.104,0.061,72.4877777777778,"Day 3
00:29"
"147",146,"18:54:04",-0.323,-0.253,0.227,0.36,0.089,0.027,72.9886111111111,"Day 3
00:59"
"148",147,"19:24:00",-0.324,-0.236,0.226,0.35,0.105,0.051,73.4875,"Day 3
01:29"
"149",148,"19:54:02",-0.295,-0.248,0.26,0.389,0.106,0.032,73.9880555555556,"Day 3
01:59"
"150",149,"20:24:00",-0.34,-0.258,0.206,0.346,0.102,0.03,74.4875,"Day 3
02:29"
"151",150,"20:54:01",-0.34,-0.252,0.216,0.378,0.084,0.042,74.9877777777778,"Day 3
02:59"
"152",151,"21:23:59",-0.324,-0.256,0.202,0.364,0.144,0.038,75.4872222222222,"Day 3
03:29"
"153",152,"21:54:04",-0.342,-0.256,0.215,0.331,0.096,0.04,75.9886111111111,"Day 3
03:59"
"154",153,"22:24:01",-0.354,-0.245,0.204,0.398,0.071,0.042,76.4877777777778,"Day 3
04:29"
"155",154,"22:54:03",-0.36,-0.251,0.205,0.372,0.127,0.071,76.9883333333333,"Day 3
04:59"
"156",155,"23:23:59",-0.173,-0.245,0.214,0.351,0.109,0.042,77.4872222222222,"Day 3
05:29"
"157",156,"23:54:02",-0.345,-0.251,0.205,0.366,0.162,0.034,77.9880555555556,"Day 3
05:59"
"158",157,"00:23:59",-0.347,-0.244,0.208,0.378,0.136,0.041,78.4872222222222,"Day 3
06:29"
"159",158,"00:54:03",-0.369,-0.251,0.212,0.35,0.111,0.038,78.9883333333333,"Day 3
06:59"
"160",159,"01:23:57",-0.366,-0.235,0.215,0.372,0.092,0.098,79.4866666666667,"Day 3
07:29"
"161",160,"01:54:00",-0.311,-0.248,0.221,0.337,0.102,0.055,79.9875,"Day 3
07:59"
"162",161,"02:24:02",-0.354,-0.267,0.201,0.353,0.077,0.082,80.4880555555556,"Day 3
08:29"
"163",162,"02:53:57",-0.33,-0.258,0.207,0.367,0.091,0.04,80.9866666666667,"Day 3
08:59"
"164",163,"03:24:00",-0.369,-0.243,0.195,0.354,0.104,0.042,81.4875,"Day 3
09:29"
"165",164,"03:54:01",-0.36,-0.253,0.212,0.347,0.114,0.046,81.9877777777778,"Day 3
09:59"
"166",165,"04:23:58",-0.375,-0.244,0.201,0.346,0.085,0.131,82.4869444444444,"Day 3
10:29"
"167",166,"04:53:58",-0.257,-0.258,0.208,0.364,0.104,0.039,82.9869444444444,"Day 3
10:59"
"168",167,"05:23:57",-0.375,-0.249,0.185,0.371,0.124,0.099,83.4866666666667,"Day 3
11:29"
"169",168,"05:53:58",-0.369,-0.266,0.194,0.358,0.093,0.074,83.9869444444444,"Day 3
11:59"
"170",169,"06:24:02",-0.371,-0.266,0.2,0.358,0.088,0.069,84.4880555555556,"Day 3
12:29"
"171",170,"06:54:00",-0.369,-0.248,0.197,0.366,0.153,0.039,84.9875,"Day 3
12:59"
"172",171,"07:23:57",-0.366,-0.258,0.193,0.349,0.12,0.053,85.4866666666667,"Day 3
13:29"
"173",172,"07:53:54",-0.368,-0.25,0.212,0.366,0.096,0.041,85.9858333333333,"Day 3
13:59"
"174",173,"08:23:56",-0.376,-0.259,0.189,0.354,0.128,0.059,86.4863888888889,"Day 3
14:29"
"175",174,"08:53:58",-0.385,-0.252,0.205,0.346,0.121,0.033,86.9869444444444,"Day 3
14:59"
"176",175,"09:23:55",-0.372,-0.265,0.204,0.347,0.172,0.03,87.4861111111111,"Day 3
15:29"
"177",176,"09:53:59",-0.354,-0.238,0.221,0.38,0.105,0.041,87.9872222222222,"Day 3
15:59"
"178",177,"10:23:56",-0.368,-0.241,0.189,0.346,0.098,0.045,88.4863888888889,"Day 3
16:29"
"179",178,"10:53:59",-0.398,-0.27,0.213,0.349,0.109,0.03,88.9872222222222,"Day 3
16:59"
"180",179,"11:23:55",-0.353,-0.267,0.187,0.357,0.136,0.097,89.4861111111111,"Day 3
17:29"
"181",180,"11:53:54",-0.387,-0.228,0.212,0.378,0.105,0.048,89.9858333333333,"Day 3
17:59"
"182",181,"12:23:53",-0.375,-0.256,0.218,0.374,0.121,0.053,90.4855555555555,"Day 3
18:29"
"183",182,"12:53:57",-0.382,-0.267,0.205,0.379,0.086,0.035,90.9866666666667,"Day 3
18:59"
"184",183,"13:23:54",-0.391,-0.24,0.209,0.365,0.092,0.06,91.4858333333333,"Day 3
19:29"
"185",184,"13:53:56",-0.345,-0.249,0.204,0.36,0.199,0.038,91.9863888888889,"Day 3
19:59"
"186",185,"14:23:50",-0.401,-0.263,0.215,0.374,0.086,0.063,92.4847222222222,"Day 3
20:29"
"187",186,"14:53:53",-0.379,-0.259,0.195,0.371,0.091,0.069,92.9855555555555,"Day 3
20:59"
"188",187,"15:23:55",-0.387,-0.262,0.212,0.388,0.096,0.107,93.4861111111111,"Day 3
21:29"
"189",188,"15:53:49",-0.394,-0.266,0.205,0.352,0.083,0.034,93.9844444444444,"Day 3
21:59"
"190",189,"16:23:51",-0.4,-0.25,0.202,0.356,0.095,0.044,94.485,"Day 3
22:29"
"191",190,"16:53:54",-0.391,-0.252,0.228,0.365,0.089,0.049,94.9858333333333,"Day 3
22:59"
"192",191,"17:23:52",-0.23,-0.247,0.224,0.369,0.107,0.096,95.4852777777778,"Day 3
23:29"
"193",192,"17:53:53",-0.393,-0.264,0.207,0.376,0.109,0.084,95.9855555555555,"Day 3
23:59"
"194",193,"18:23:49",-0.4,-0.262,0.205,0.356,0.08,0.025,96.4844444444444,"Day 4
00:29"
"195",194,"18:53:53",-0.407,-0.244,0.221,0.359,0.088,0.049,96.9855555555555,"Day 4
00:59"
"196",195,"19:23:50",-0.391,-0.265,0.224,0.376,0.09,0.051,97.4847222222222,"Day 4
01:29"
"197",196,"19:53:49",-0.396,-0.264,0.224,0.382,0.084,0.034,97.9844444444444,"Day 4
01:59"
"198",197,"20:23:51",-0.407,-0.255,0.24,0.382,0.199,0.032,98.485,"Day 4
02:29"
"199",198,"20:53:48",-0.402,-0.253,0.235,0.369,0.086,0.039,98.9841666666667,"Day 4
02:59"
"200",199,"21:23:52",-0.413,-0.26,0.227,0.36,0.078,0.039,99.4852777777778,"Day 4
03:29"
"201",200,"21:53:47",-0.395,-0.243,0.211,0.38,0.07,0.035,99.9838888888889,"Day 4
03:59"
"202",201,"22:23:50",-0.398,-0.247,0.205,0.388,0.066,0.095,100.484722222222,"Day 4
04:29"
"203",202,"22:53:48",-0.373,-0.266,0.228,0.385,0.086,0.034,100.984166666667,"Day 4
04:59"
"204",203,"23:23:51",-0.293,-0.253,0.223,0.394,0.083,0.049,101.485,"Day 4
05:29"
"205",204,"23:53:48",-0.415,-0.262,0.233,0.376,0.075,0.034,101.984166666667,"Day 4
05:59"
"206",205,"00:23:52",-0.4,-0.249,0.231,0.372,0.078,0.055,102.485277777778,"Day 4
06:29"
"207",206,"00:53:48",-0.41,-0.257,0.215,0.366,0.066,0.041,102.984166666667,"Day 4
06:59"
"208",207,"01:23:49",-0.38,-0.28,0.218,0.376,0.054,0.091,103.484444444444,"Day 4
07:29"
"209",208,"01:53:52",-0.404,-0.244,0.24,0.373,0.154,0.028,103.985277777778,"Day 4
07:59"
"210",209,"02:23:48",-0.419,-0.263,0.236,0.415,0.096,0.023,104.484166666667,"Day 4
08:29"
"211",210,"02:53:47",-0.407,-0.266,0.22,0.393,0.068,0.034,104.983888888889,"Day 4
08:59"
"212",211,"03:23:46",-0.425,-0.27,0.226,0.383,0.059,0.089,105.483611111111,"Day 4
09:29"
"213",212,"03:53:46",-0.422,-0.245,0.214,0.385,0.071,0.022,105.983611111111,"Day 4
09:59"
"214",213,"04:23:49",-0.422,-0.271,0.234,0.374,0.176,0.025,106.484444444444,"Day 4
10:29"
"215",214,"04:53:47",-0.412,-0.256,0.243,0.374,0.096,0.019,106.983888888889,"Day 4
10:59"
"216",215,"05:23:46",-0.422,-0.28,0.234,0.393,0.092,0.024,107.483611111111,"Day 4
11:29"
"217",216,"05:53:43",-0.412,-0.255,0.23,0.388,0.081,0.068,107.982777777778,"Day 4
11:58"
"218",217,"06:23:44",-0.404,-0.234,0.218,0.398,0.071,0.019,108.483055555556,"Day 4
12:28"
"219",218,"06:53:47",-0.43,-0.258,0.223,0.365,0.11,0.024,108.983888888889,"Day 4
12:59"
"220",219,"07:23:43",-0.354,-0.25,0.231,0.398,0.051,0.046,109.482777777778,"Day 4
13:28"
"221",220,"07:53:44",-0.427,-0.262,0.234,0.375,0.062,0.037,109.983055555556,"Day 4
13:58"
"222",221,"08:23:45",-0.425,-0.257,0.234,0.4,0.059,0.033,110.483333333333,"Day 4
14:29"
"223",222,"08:53:48",-0.423,-0.247,0.241,0.389,0.064,0.07,110.984166666667,"Day 4
14:59"
"224",223,"09:23:42",-0.419,-0.236,0.247,0.388,0.056,0.059,111.4825,"Day 4
15:28"
"225",224,"09:53:43",-0.42,-0.258,0.224,0.369,0.067,0.035,111.982777777778,"Day 4
15:58"
"226",225,"10:23:45",-0.416,-0.251,0.231,0.383,0.057,0.019,112.483333333333,"Day 4
16:29"
"227",226,"10:53:39",-0.429,-0.26,0.235,0.405,0.077,0.028,112.981666666667,"Day 4
16:58"
"228",227,"11:23:42",-0.427,-0.262,0.235,0.387,0.099,0.027,113.4825,"Day 4
17:28"
"229",228,"11:53:39",-0.422,-0.258,0.238,0.402,0.051,0.023,113.981666666667,"Day 4
17:58"
"230",229,"12:23:40",-0.431,-0.262,0.238,0.398,0.053,0.02,114.481944444444,"Day 4
18:28"
"231",230,"12:53:42",-0.433,-0.266,0.245,0.369,0.042,0.18,114.9825,"Day 4
18:58"
"232",231,"13:23:43",-0.387,-0.258,0.236,0.378,0.056,0.033,115.482777777778,"Day 4
19:28"
"233",232,"13:53:39",-0.433,-0.266,0.248,0.386,0.07,0.042,115.981666666667,"Day 4
19:58"
"234",233,"14:23:42",-0.442,-0.27,0.237,0.385,0.063,0.028,116.4825,"Day 4
20:28"
"235",234,"14:53:45",-0.419,-0.248,0.242,0.396,0.074,0.045,116.983333333333,"Day 4
20:59"
"236",235,"15:23:40",-0.427,-0.269,0.238,0.388,0.068,0.032,117.481944444444,"Day 4
21:28"
"237",236,"15:53:42",-0.426,-0.257,0.238,0.382,0.07,0.026,117.9825,"Day 4
21:58"
"238",237,"16:23:38",-0.431,-0.252,0.243,0.419,0.114,0.023,118.481388888889,"Day 4
22:28"
"239",238,"16:53:41",-0.423,-0.281,0.238,0.379,0.047,0.026,118.982222222222,"Day 4
22:58"
"240",239,"17:23:35",-0.431,-0.262,0.247,0.379,0.044,0.017,119.480555555556,"Day 4
23:28"
"241",240,"17:53:38",-0.43,-0.253,0.259,0.391,0.06,0.022,119.981388888889,"Day 4
23:58"
"242",241,"18:23:42",-0.436,-0.265,0.238,0.403,0.097,0.023,120.4825,"Day 5
00:28"
"243",242,"18:53:36",-0.308,-0.271,0.24,0.41,0.107,0.034,120.980833333333,"Day 5
00:58"
"244",243,"19:23:40",-0.437,-0.257,0.241,0.425,0.078,0.047,121.481944444444,"Day 5
01:28"
"245",244,"19:53:36",-0.43,-0.259,0.247,0.394,0.064,0.022,121.980833333333,"Day 5
01:58"
"246",245,"20:23:39",-0.432,-0.272,0.256,0.391,0.052,0.019,122.481666666667,"Day 5
02:28"
"247",246,"20:53:40",-0.437,-0.267,0.247,0.436,0.066,0.03,122.981944444444,"Day 5
02:58"
"248",247,"21:23:38",-0.43,-0.25,0.243,0.4,0.118,0.019,123.481388888889,"Day 5
03:28"
"249",248,"21:53:41",-0.442,-0.26,0.247,0.413,0.078,0.018,123.982222222222,"Day 5
03:58"
