"Sample_Name","Original_Cq","Threshold_Used","Column_Matched","Log10_copies_original","Copies_per_mL_original","Log10_copies_corrected","Copies_per_mL_corrected","Fold_difference","Log2_fold_difference"
"KS3-10-1-1",11.0177927950566,179.04274118745,"KS3-10-1-1",6.64096728902295,4374891.52318254,6.06756687646127,1168333.62623622,0.267054307528593,-1.90479494010865
"KS3-10-1-2",10.8598897016035,179.042741187454,"KS3-10-1-2",6.67763000748101,4760252.69391505,6.10187497281163,1264372.30031615,0.265610332395247,-1.91261682544106
"KS3-10-1-3",10.4998140386133,179.042741187452,"KS3-10-1-3",6.76123414953493,5770775.1042896,6.18010973230325,1513943.72519555,0.262346686161827,-1.93045352822699
"KS3-10-2-1",9.48736003107129,179.042741187452,"KS3-10-2-1",6.99631071085175,9915410.77531658,6.40008876426169,2512399.88157873,0.253383338170225,-1.98060643516597
"KS3-10-2-2",10.1331957488229,179.042741187452,"KS3-10-2-2",6.84635739092445,7020327.79707771,6.25976602867383,1818720.77902044,0.259064937078508,-1.94861432647858
"KS3-10-2-3",13.0507440455516,179.042741187453,"KS3-10-2-3",6.16894664835077,1475525.25871484,5.62586123376418,422533.584313008,0.286361471494584,-1.80409069663877
"KS3-100-1-1",17.4796715513124,179.042741187456,"KS3-100-1-1",5.14061643224214,138234.495619933,4.66357437621432,46086.5688666672,0.333394126118703,-1.58469940836168
"KS3-100-1-2",16.7415419366536,179.042741187455,"KS3-100-1-2",5.31199900402074,205115.747484538,4.82395009390909,66673.0148835783,0.325050688214976,-1.62126338617907
"KS3-100-1-3",16.6229360233427,179.042741187453,"KS3-100-1-3",5.33953750951855,218543.30648609,4.8497199696766,70748.9452574801,0.323729636908295,-1.62713864696957
"KS3-100-2-1",13.4554910546743,179.042741187454,"KS3-100-2-1",6.07497049299057,1188421.48048632,5.537920591926,345080.637695676,0.290368899722735,-1.78404115470289
"KS3-100-2-2",13.4612668945578,179.042741187447,"KS3-100-2-2",6.07362943002038,1184757.40009604,5.5366656572259,344084.934060964,0.290426490717064,-1.78375504278272
"KS3-100-2-3",13.4006538994706,179.042741187457,"KS3-100-2-3",6.08770285394885,1223778.59845761,5.54983523123524,354678.800659229,0.289822686151114,-1.78675756722261
"KS3-KS8-1-1",16.223921963463,179.042741187446,"KS3-KS8-1-1",5.43218256046886,270509.524172185,4.93641499579758,86380.357237415,0.319324643011209,-1.64690420161543
"KS3-KS8-1-2",16.6527821271749,179.042741187455,"KS3-KS8-1-2",5.33260769403526,215083.796657358,4.84323521384589,69700.3909147139,0.324061561112161,-1.62566019080579
"KS3-KS8-1-3",16.604054113524,179.042741187448,"KS3-KS8-1-3",5.34392160439911,220760.619644339,4.85382250096445,71420.4366354587,0.323519823193656,-1.62807398097873
"KS3-KS8-2-1",13.6933416401841,179.042741187452,"KS3-KS8-2-1",6.01974517180825,1046514.31136247,5.4862420552602,306367.050336333,0.292749986321228,-1.77225899157094
"KS3-KS8-2-2",15.0104154757338,179.042741187456,"KS3-KS8-2-2",5.71394047751597,517535.895904912,5.20007732559963,158517.540587254,0.30629284237393,-1.70701644127824
